================================================================================
        IO-VNBD PREPROCESSING & FEATURE ENGINEERING REPORT (STEP 3)
================================================================================
Total Sequences Discovered: 241
Output Processed Directory: C:\Users\mathu\OneDrive\Desktop\AI-IDR\dataset\processed
--------------------------------------------------------------------------------
[1/241] S-A1: 5942 samples | Mean dt: 500.0ms | Median dt: 500.0ms | % 100ms: 0.0%
[28/241] S-S3b: 6813 samples | Mean dt: 397.5ms | Median dt: 100.0ms | % 100ms: 100.0%
[29/241] S-S3b: 6813 samples | Mean dt: 397.5ms | Median dt: 100.0ms | % 100ms: 100.0%
[30/241] S-S3c: 37183 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[31/241] S-S3c: 37183 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[32/241] S-S3c: 37183 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[33/241] S-S4: 94600 samples | Mean dt: 59.0ms | Median dt: 80.0ms | % 100ms: 21.8%
[34/241] S-S4: 94600 samples | Mean dt: 59.0ms | Median dt: 80.0ms | % 100ms: 21.8%
[35/241] S-S4: 94600 samples | Mean dt: 59.0ms | Median dt: 80.0ms | % 100ms: 21.8%
[36/241] S-T1: 25759 samples | Mean dt: 28.7ms | Median dt: 1.0ms | % 100ms: 20.1%
[37/241] S-T10: 6699 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 99.9%
[38/241] S-T11: 5690 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[39/241] S-T2: 75555 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[40/241] S-T3: 65859 samples | Mean dt: 98.2ms | Median dt: 100.0ms | % 100ms: 97.9%
[41/241] S-T4: 73482 samples | Mean dt: 48.7ms | Median dt: 1.0ms | % 100ms: 36.5%
[42/241] S-T5: 46387 samples | Mean dt: 43.9ms | Median dt: 1.0ms | % 100ms: 30.2%
[43/241] S-T6: 86440 samples | Mean dt: 29.0ms | Median dt: 1.0ms | % 100ms: 13.0%
[44/241] S-T7: 101690 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[45/241] S-T8: 48344 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[46/241] S-T9: 79909 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[47/241] S-Vfa01: 11486 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[48/241] S-Vfa01: 11486 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[49/241] S-Vfa01: 11486 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[50/241] S-Vfa02: 67523 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[51/241] S-Vfa02: 67523 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[52/241] S-Vfa02: 67523 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[53/241] S-Vta10: 1502 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[54/241] S-Vta10: 1502 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[55/241] S-Vta10: 1502 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[56/241] S-Vta11: 510 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[57/241] S-Vta11: 510 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[58/241] S-Vta11: 510 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[59/241] S-Vta12: 610 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[60/241] S-Vta12: 610 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[61/241] S-Vta12: 610 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[62/241] S-Vta13: 404 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[63/241] S-Vta13: 404 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[64/241] S-Vta13: 404 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[65/241] S-Vta14: 2885 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[66/241] S-Vta14: 2885 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[67/241] S-Vta14: 2885 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[68/241] S-Vta15: 833 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[69/241] S-Vta15: 833 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[70/241] S-Vta15: 833 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[71/241] S-Vta16: 11335 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[72/241] S-Vta16: 11335 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[73/241] S-Vta16: 11335 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[74/241] S-Vta17: 4519 samples | Mean dt: 100.3ms | Median dt: 100.0ms | % 100ms: 100.0%
[75/241] S-Vta17: 4519 samples | Mean dt: 100.3ms | Median dt: 100.0ms | % 100ms: 100.0%
[76/241] S-Vta17: 4519 samples | Mean dt: 100.3ms | Median dt: 100.0ms | % 100ms: 100.0%
[77/241] S-Vta19: 292 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[78/241] S-Vta19: 292 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[79/241] S-Vta19: 292 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[80/241] S-Vta1a: 25676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[81/241] S-Vta1a: 25676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[82/241] S-Vta1a: 25676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[83/241] S-Vta1b: 954 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[84/241] S-Vta1b: 954 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[85/241] S-Vta1b: 954 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[86/241] S-Vta2: 10991 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[87/241] S-Vta2: 10991 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[88/241] S-Vta2: 10991 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[89/241] S-Vta20: 3223 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[90/241] S-Vta20: 3223 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[91/241] S-Vta20: 3223 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[92/241] S-Vta21: 2079 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[93/241] S-Vta21: 2079 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[94/241] S-Vta21: 2079 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[95/241] S-Vta22: 1564 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[96/241] S-Vta22: 1564 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[97/241] S-Vta22: 1564 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[98/241] S-Vta23: 1110 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[99/241] S-Vta23: 1110 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[100/241] S-Vta23: 1110 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[101/241] S-Vta24: 1171 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[102/241] S-Vta24: 1171 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[103/241] S-Vta24: 1171 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[104/241] S-Vta25: 646 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[105/241] S-Vta25: 646 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[106/241] S-Vta25: 646 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[107/241] S-Vta26: 1935 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[108/241] S-Vta26: 1935 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[109/241] S-Vta26: 1935 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[110/241] S-Vta27: 2540 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[111/241] S-Vta27: 2540 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[112/241] S-Vta27: 2540 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[113/241] S-Vta28: 4210 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[114/241] S-Vta28: 4210 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[115/241] S-Vta28: 4210 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[116/241] S-Vta29: 23705 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[117/241] S-Vta29: 23705 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[118/241] S-Vta29: 23705 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[119/241] S-Vta3: 645 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[120/241] S-Vta3: 645 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[121/241] S-Vta3: 645 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[122/241] S-Vta30: 17136 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[123/241] S-Vta30: 17136 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[124/241] S-Vta30: 17136 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[125/241] S-Vta4: 1789 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[126/241] S-Vta4: 1789 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[127/241] S-Vta4: 1789 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[128/241] S-Vta5: 307 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[129/241] S-Vta5: 307 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[130/241] S-Vta5: 307 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[131/241] S-Vta6: 1376 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[132/241] S-Vta6: 1376 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[133/241] S-Vta6: 1376 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[134/241] S-Vta7: 840 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[135/241] S-Vta7: 840 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[136/241] S-Vta7: 840 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[137/241] S-Vta8: 3676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[138/241] S-Vta8: 3676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[139/241] S-Vta8: 3676 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[140/241] S-Vta9: 156 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[141/241] S-Vta9: 156 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[142/241] S-Vta9: 156 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[143/241] S-Vtb1: 32459 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 79.6%
[144/241] S-Vtb1: 32459 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 79.6%
[145/241] S-Vtb1: 32459 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 79.6%
[146/241] S-Vtb10: 196 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[147/241] S-Vtb10: 196 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[148/241] S-Vtb10: 196 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[149/241] S-Vtb11: 361 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[150/241] S-Vtb11: 361 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[151/241] S-Vtb11: 361 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[152/241] S-Vtb12: 447 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[153/241] S-Vtb12: 447 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[154/241] S-Vtb12: 447 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[155/241] S-Vtb2: 5712 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[156/241] S-Vtb2: 5712 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[157/241] S-Vtb2: 5712 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[158/241] S-Vtb3: 8240 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[159/241] S-Vtb3: 8240 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[160/241] S-Vtb3: 8240 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[161/241] S-Vtb4: 556 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[162/241] S-Vtb4: 556 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[163/241] S-Vtb4: 556 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[164/241] S-Vtb5: 64388 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[165/241] S-Vtb5: 64388 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[166/241] S-Vtb5: 64388 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[167/241] S-Vtb6: 498 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 99.6%
[168/241] S-Vtb6: 498 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 99.6%
[169/241] S-Vtb6: 498 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 99.6%
[170/241] S-Vtb7: 461 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[171/241] S-Vtb7: 461 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[172/241] S-Vtb7: 461 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[173/241] S-Vtb8: 668 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[174/241] S-Vtb8: 668 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[175/241] S-Vtb8: 668 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[176/241] S-Vtb9: 452 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[177/241] S-Vtb9: 452 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[178/241] S-Vtb9: 452 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[179/241] S-Vw1: 20476 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[180/241] S-Vw1: 20476 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[181/241] S-Vw1: 20476 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[182/241] S-Vw10: 652 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[183/241] S-Vw10: 652 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[184/241] S-Vw10: 652 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[185/241] S-Vw11: 4909 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[186/241] S-Vw11: 4909 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[187/241] S-Vw11: 4909 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[188/241] S-Vw12: 918 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[189/241] S-Vw12: 918 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[190/241] S-Vw12: 918 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[191/241] S-Vw13: 284 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[192/241] S-Vw13: 284 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[193/241] S-Vw13: 284 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[194/241] S-Vw14a: 3138 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[195/241] S-Vw14a: 3138 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[196/241] S-Vw14a: 3138 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[197/241] S-Vw14b: 19588 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[198/241] S-Vw14b: 19588 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[199/241] S-Vw14b: 19588 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[200/241] S-Vw14c: 15826 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[201/241] S-Vw14c: 15826 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[202/241] S-Vw14c: 15826 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[203/241] S-Vw15: 1380 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[204/241] S-Vw15: 1380 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[205/241] S-Vw15: 1380 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[206/241] S-Vw16a: 5879 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[207/241] S-Vw16a: 5879 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[208/241] S-Vw16a: 5879 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[209/241] S-Vw16b: 1126 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[210/241] S-Vw16b: 1126 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[211/241] S-Vw16b: 1126 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[212/241] S-Vw17: 329 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[213/241] S-Vw17: 329 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[214/241] S-Vw17: 329 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[215/241] S-Vw2: 52713 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[216/241] S-Vw2: 52713 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[217/241] S-Vw2: 52713 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[218/241] S-Vw3: 3861 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[219/241] S-Vw3: 3861 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[220/241] S-Vw3: 3861 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[221/241] S-Vw4: 126526 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[222/241] S-Vw4: 126526 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[223/241] S-Vw4: 126526 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[224/241] S-Vw5: 1012 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[225/241] S-Vw5: 1012 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[226/241] S-Vw5: 1012 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[227/241] S-Vw6: 1281 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[228/241] S-Vw6: 1281 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[229/241] S-Vw6: 1281 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[230/241] S-Vw7: 1602 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[231/241] S-Vw7: 1602 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[232/241] S-Vw7: 1602 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[233/241] S-Vw8: 1529 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[234/241] S-Vw8: 1529 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[235/241] S-Vw8: 1529 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[236/241] S-Vw9: 552 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[237/241] S-Vw9: 552 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[238/241] S-Vw9: 552 samples | Mean dt: 100.0ms | Median dt: 100.0ms | % 100ms: 100.0%
[239/241] S-Y1: 70285 samples | Mean dt: 95.2ms | Median dt: 100.0ms | % 100ms: 94.7%
[240/241] S-Y1: 70285 samples | Mean dt: 95.2ms | Median dt: 100.0ms | % 100ms: 94.7%
[241/241] S-Y1: 70285 samples | Mean dt: 95.2ms | Median dt: 100.0ms | % 100ms: 94.7%
--------------------------------------------------------------------------------
PREPROCESSING STATUS
--------------------
Raw dataset preserved: YES
Timestamp processed: YES
Missing values handled: YES
Irregular sampling analyzed: YES
Sensor filtering completed: YES
Features generated: YES
Processed dataset created: YES
Data leakage avoided: YES
